Elapsed.time   CPU     Real.mem   Virtual.mem
       0.000        0.000     2016.430     8099.910
       1.008      735.300     2168.441     8187.918
       2.009      799.200     2168.441     8187.918
       3.014      800.000     2168.441     8187.918
       4.015      800.200     2168.441     8187.918
       5.016      800.100     2168.441     8187.918
       6.017      473.500     2081.988     8099.910
       7.018      480.600     2081.988     8099.910
       8.020      492.900     2081.988     8099.910
       9.021      480.700     2081.988     8099.910
      10.022      472.500     2081.988     8099.910
      11.023      457.500     1862.254     7879.891
      12.024      144.900     2088.652     8105.457
      13.025      142.900     2090.027     8105.457
      14.026      112.800     2400.535     8457.469
      15.028       99.800     2400.535     8457.469
      16.029       99.900     2400.535     8457.469
      17.030       99.900     2400.535     8457.469
      18.031       99.900     2400.535     8457.469
      19.032      171.800     2035.152     8061.453
      20.039      142.000     2005.609     8017.449
      21.040      131.900     2068.328     8105.672
      22.041      109.900     2010.484     8047.723
      23.042      166.800     2179.293     8214.148
      24.043      252.800     2269.434     8302.156
      25.044      258.700     2269.438     8302.156
      26.043      309.700     2269.438     8302.156
      27.044      319.600     2357.703     8390.164
      28.045      320.700     2313.828     8346.160
      29.046      175.900     2313.828     8346.160
      30.047      317.600     2269.828     8302.156
      31.048      432.600     2214.062     8262.484
      32.049      110.900     2170.059     8218.484
      33.050      429.500     2173.898     8205.770
      34.051      228.800     2190.305     8249.926
      35.052      122.900     2436.469     8469.941
      36.053      135.900     2412.195     8459.777
      37.054       99.900     2412.195     8459.777
      38.055      144.800     2284.766     8316.602
      39.056      291.700     2461.277     8492.617
      40.057      248.800     2461.281     8492.617
      41.058      312.600     2461.285     8492.617
      42.059      465.600     2530.824     8610.906
      43.063      132.500     2458.766     9208.938
      44.071      649.900     2636.422     9260.645
      45.072      659.300     2811.348     8842.238
      46.073      632.500     3041.727     8881.379
      47.074      609.700     3159.332     8893.742
      48.078      581.400     3220.379     9502.395
      49.083      642.600     2562.996     9464.938
      50.084      639.300     2661.746     8868.781
      51.085      642.500     2878.645     8943.469
      52.087      612.500     2884.098     8868.906
      53.103      600.500     2967.746     9465.062
      54.104      666.500     2985.516     8868.906
      55.105      632.300     3066.562     8893.797
      56.108      616.500     3126.324     8868.906
      57.109      465.600     3089.844     8760.871
      58.110      476.400     3089.844     8760.871
      59.111      466.500     3089.844     8760.871
      60.113      466.600     3089.844     8760.871
      61.114      452.500     3090.469     8760.871
      62.114      487.600     3047.012     8717.867
      63.115      141.900     3064.820     8722.926
      64.117      115.900     3329.086     8986.941
      65.118      122.900     3195.840     8869.430
      66.119       99.900     3195.840     8869.430
      67.120      145.900     3100.109     8756.934
      68.120      288.800     3276.500     8932.949
      69.121      248.700     3276.504     8932.949
      70.123      318.600     3232.508     8888.945
      71.124      462.600     3269.938     8976.746
      72.126      188.400     2773.559     9523.086
      73.127      363.600     2830.309     8944.590
      74.130      388.100     2925.012     9001.621
      75.131      612.500     3094.918     9038.898
      76.131      575.500     3171.676     8969.629
      77.135      642.000     3275.418     9597.723
      78.136      639.300     3249.367     9125.996
      79.137      633.400     3332.051     9077.984
      80.139      599.200     3310.984     9013.984
      81.151      599.900     3387.391     9610.141
      82.153      394.500     3336.340     8981.969
      83.155      512.500     3349.961     8925.117
      84.161      608.300     3422.688     9585.305
      85.163      641.000     2922.355     8989.148
      86.168      287.600     2975.887     8925.117
      87.169      499.600     2908.414     8705.586
      88.170      121.900     2908.562     8705.586
      89.171      117.900     2865.152     8661.582
      90.172      138.900     2866.590     8661.582
      91.173      107.900     3176.598     9013.594
      92.174       99.900     3176.598     9013.594
      93.175       99.900     3176.598     9013.594
      94.176       99.900     3176.598     9013.594
      95.177       99.900     3176.598     9013.594
